,Num of SAT Test Takers,SAT Critical Reading Avg. Score,SAT Math Avg. Score,Enrollment,% Black or Hispanic
0,832,679,735,3286,0.037
1,92,636,648,395,0.243
2,227,635,682,1185,0.062
3,731,632,688,3060,0.103
4,130,624,604,601,0.343
5,278,621,651,1116,0.198
6,121,612,660,400,0.18
7,101,605,654,439,0.36
8,1277,587,659,5451,0.175
9,72,586,584,509,0.42
10,261,577,575,1263,0.384
11,127,572,594,516,0.169
12,531,566,564,2688,0.309
13,155,545,568,591,0.315
14,114,537,590,578,0.263
15,144,528,553,658,0.275
16,259,524,561,1018,0.208
17,61,524,568,270,0.3
18,159,522,574,570,0.349
19,66,517,533,410,0.434
20,99,513,523,510,0.651
21,94,509,490,438,0.527
22,174,504,496,786,0.439
23,89,499,537,453,0.382
24,104,496,563,441,0.197
25,54,492,465,280,0.357
26,135,487,492,752,0.44
27,888,480,545,3778,0.384
28,824,478,519,3893,0.463
29,165,476,481,936,0.97
30,111,473,506,456,0.636
31,92,473,483,447,0.62
32,107,472,488,476,0.382
33,185,471,472,900,0.952
34,63,471,489,363,0.325
35,81,469,472,517,0.729
36,934,468,539,4129,0.325
37,727,468,496,4031,0.42
38,103,468,492,480,0.519
39,263,465,493,1339,0.746
40,807,462,486,3849,0.127
41,708,462,523,3297,0.37
42,375,461,514,1617,0.772
43,81,459,480,448,0.929
44,214,458,474,1134,0.96
45,69,457,462,313,0.942
46,762,456,497,3834,0.395
47,131,456,456,573,0.853
48,535,455,474,3402,0.358
49,58,455,498,311,0.415
50,422,452,478,2225,0.439
51,137,452,451,517,0.304
52,396,445,496,2224,0.596
53,270,444,441,1386,0.769
54,97,444,471,641,0.808
55,167,443,489,757,0.679
56,80,443,447,501,0.703
57,95,441,473,413,0.896
58,68,439,445,280,0.768
59,113,438,455,638,0.683
60,89,438,443,371,0.957
61,375,437,435,2441,0.709
62,518,436,475,3158,0.336
63,59,436,427,485,0.864
64,75,433,433,603,0.927
65,70,432,446,289,0.893
66,99,431,458,691,0.462
67,76,431,438,504,0.895
68,228,430,456,1339,0.932
69,25,430,452,309,0.547
70,336,429,449,1726,0.732
71,194,429,491,928,0.514
72,119,429,449,639,0.297
73,42,429,404,223,0.879
74,39,428,465,142,0.993
75,141,426,421,768,0.926
76,259,425,413,1609,0.968
77,238,425,474,1292,0.632
78,175,425,434,1227,0.65
79,391,424,437,2683,0.388
80,271,424,438,1950,0.692
81,335,423,423,1669,0.923
82,93,423,426,593,0.508
83,85,423,438,426,0.763
84,52,423,420,428,0.956
85,68,420,445,401,0.686
86,66,420,426,326,0.951
87,443,419,426,3654,0.897
88,48,419,433,491,0.914
89,79,418,441,434,0.956
90,694,417,478,4419,0.337
91,155,417,447,1469,0.796
92,94,416,422,647,0.74
93,84,416,426,640,0.872
94,59,416,463,385,0.356
95,54,416,432,277,0.978
96,395,414,449,2766,0.557
97,131,414,425,720,0.922
98,99,414,435,440,0.827
99,134,413,396,696,0.976
100,54,413,399,425,0.976
101,51,413,381,328,0.979
102,415,412,436,2944,0.829
103,78,412,581,388,0.062
104,80,411,464,339,0.953
105,98,410,440,437,0.741
106,62,409,393,433,0.91
107,61,409,424,618,0.913
108,84,408,384,592,0.941
109,60,408,446,342,0.98
110,36,408,432,240,0.983
111,264,407,440,1792,0.873
112,148,407,434,920,0.745
113,44,407,386,416,0.913
114,41,407,386,346,0.962
115,85,406,391,817,0.947
116,74,406,406,555,0.872
117,39,406,413,428,0.701
118,89,405,454,436,0.667
119,77,405,423,439,0.841
120,73,405,421,465,0.918
121,64,405,415,318,0.792
122,59,405,391,333,0.961
123,448,404,468,1894,0.464
124,80,404,418,469,0.97
125,69,404,429,447,0.866
126,51,404,418,405,0.951
127,48,404,449,418,0.902
128,37,404,393,330,0.952
129,392,403,420,3029,0.735
130,79,403,394,472,0.962
131,46,403,385,291,0.969
132,40,403,392,351,0.846
133,456,402,471,3289,0.324
134,54,402,427,512,0.461
135,54,402,395,416,0.966
136,49,402,398,458,0.928
137,46,401,397,326,0.936
138,105,400,417,440,0.961
139,78,400,426,442,0.894
140,64,400,419,289,0.945
141,46,400,357,419,0.952
142,24,400,422,657,0.965
143,92,399,417,534,0.882
144,83,399,418,428,0.9
145,64,399,396,235,0.949
146,58,399,393,497,0.823
147,142,398,421,1003,0.936
148,77,398,402,619,0.924
149,61,398,412,438,0.304
150,59,398,411,418,0.921
151,558,397,451,3634,0.614
152,113,397,410,636,0.863
153,58,397,391,282,0.837
154,475,396,437,2419,0.587
155,66,396,402,393,0.982
156,66,396,398,547,0.947
157,59,396,374,396,0.98
158,462,395,413,3109,0.571
159,241,395,420,1936,0.683
160,182,395,418,1227,0.927
161,72,395,416,438,0.833
162,16,395,400,189,0.915
163,95,394,414,780,0.891
164,76,394,400,518,0.983
165,53,394,384,340,0.841
166,347,393,441,2977,0.762
167,76,393,399,361,0.828
168,62,393,381,510,0.924
169,50,393,394,393,0.977
170,33,393,395,305,0.99
171,69,392,416,402,0.978
172,61,392,401,427,0.953
173,403,391,409,3253,0.646
174,334,391,397,2239,0.706
175,138,391,403,857,0.882
176,73,391,395,431,0.919
177,60,391,391,513,0.904
178,44,391,401,313,0.933
179,111,390,408,588,0.946
180,62,390,399,396,0.927
181,44,390,433,367,0.875
182,34,390,401,220,0.982
183,60,389,409,365,0.962
184,63,388,382,490,0.935
185,46,388,393,390,0.946
186,39,388,398,347,0.908
187,87,387,385,451,0.962
188,69,387,365,479,0.952
189,67,387,402,494,0.966
190,63,387,377,322,0.991
191,60,387,391,475,0.815
192,44,387,411,525,0.977
193,189,386,397,1826,0.953
194,75,386,380,464,0.97
195,56,386,394,360,0.964
196,38,386,386,437,0.982
197,48,385,393,393,0.967
198,114,384,394,693,0.975
199,88,384,409,521,0.983
200,72,384,364,712,0.971
201,52,384,385,463,0.873
202,41,384,390,369,0.94
203,40,384,375,254,0.764
204,385,383,486,3103,0.367
205,320,383,440,2229,0.69
206,91,383,423,331,0.683
207,55,383,378,499,0.974
208,54,383,358,377,0.981
209,38,383,400,320,0.891
210,404,382,404,2336,0.633
211,79,382,393,567,0.926
212,51,382,365,313,0.942
213,26,382,406,351,0.929
214,12,382,372,144,0.972
215,72,381,376,555,0.926
216,57,381,381,367,0.97
217,70,380,395,374,0.995
218,61,380,386,429,0.984
219,50,380,366,344,0.971
220,72,379,416,294,0.83
221,66,378,374,537,0.966
222,101,377,371,1012,0.908
223,81,377,391,477,0.95
224,70,377,402,387,0.786
225,48,377,372,418,0.926
226,38,377,404,275,0.982
227,51,376,385,411,0.912
228,49,376,460,317,0.505
229,40,376,385,302,0.93
230,50,375,388,309,0.929
231,37,375,355,469,0.959
232,58,374,375,399,0.912
233,49,374,384,434,0.965
234,29,374,377,298,0.97
235,86,373,412,414,0.932
236,78,373,387,413,0.973
237,68,373,370,349,0.971
238,54,373,381,423,0.979
239,51,373,379,388,0.941
240,42,373,370,419,0.907
241,55,372,379,536,0.953
242,68,371,365,357,0.961
243,60,371,371,412,0.896
244,32,371,368,459,0.965
245,31,371,377,310,0.965
246,74,370,381,347,0.928
247,74,370,369,465,0.968
248,57,370,371,496,0.946
249,43,370,367,294,0.908
250,36,370,372,268,0.981
251,25,370,349,261,0.874
252,67,369,367,367,0.97
253,63,369,380,550,0.973
254,39,369,371,304,0.951
255,50,368,384,391,0.974
256,43,368,378,276,0.949
257,94,367,376,620,0.948
258,63,367,385,442,0.957
259,42,367,373,454,0.96
260,36,367,379,379,0.879
261,28,367,356,440,0.989
262,65,366,364,404,0.96
263,46,366,378,387,0.966
264,131,365,370,1199,0.977
265,102,365,361,433,0.97
266,76,365,384,571,0.977
267,144,364,379,1120,0.98
268,65,364,378,344,0.983
269,114,363,368,559,0.95
270,94,363,378,688,0.975
271,72,363,385,534,0.946
272,47,363,349,364,0.97
273,39,363,371,324,0.951
274,35,363,381,285,0.961
275,32,363,360,382,0.984
276,62,362,378,506,0.96
277,61,362,375,409,0.941
278,55,362,376,344,0.98
279,46,362,372,460,0.983
280,55,361,371,319,0.981
281,52,361,367,222,0.901
282,48,361,360,276,0.986
283,43,361,359,320,0.984
284,30,361,353,237,0.97
285,57,360,385,377,0.931
286,56,360,353,353,0.986
287,52,360,380,453,0.903
288,52,360,364,433,0.972
289,28,359,335,219,0.968
290,31,358,351,325,0.975
291,74,356,363,381,0.976
292,43,356,379,287,0.976
293,34,356,376,362,0.978
294,48,355,350,384,0.966
295,29,355,404,302,0.838
296,20,355,355,179,0.983
297,48,354,357,348,0.957
298,33,354,366,303,0.974
299,76,353,358,412,0.959
300,40,353,370,251,0.625
301,27,353,315,354,0.986
302,57,352,342,307,0.971
303,29,352,349,350,0.977
304,63,351,375,355,0.986
305,75,348,353,427,0.974
306,68,348,362,437,0.975
307,35,348,381,261,0.981
308,49,347,367,324,0.969
309,23,347,358,419,0.983
310,72,342,346,493,0.974
311,67,342,364,388,0.974
312,37,341,349,347,0.968
313,56,339,349,497,1.0
314,73,338,349,382,0.961
315,67,337,361,343,0.95
316,66,336,378,561,1.0
317,72,332,381,416,0.832
318,43,332,357,472,0.975
319,69,326,409,496,0.47
320,54,326,386,357,0.297
321,39,324,376,323,0.985
322,143,323,475,935,0.498
323,30,321,351,404,0.998
324,55,317,323,359,0.994
325,54,315,339,315,1.0
326,49,314,312,402,0.968
327,45,314,417,421,0.323
328,56,313,320,417,0.988
329,34,310,324,385,0.919
330,90,305,364,351,0.464
331,52,304,356,487,0.916
332,42,304,323,392,0.895
333,49,300,333,380,0.997
334,71,287,335,421,0.637
