DBN,SCHOOL NAME,Num of SAT Test Takers,SAT Critical Reading Avg. Score,SAT Math Avg. Score,Percentile Rank,Environment Grade,College and Career Readiness Grade,Enrollment,% Students with Disabilities,% Overage,% Black or Hispanic,% ELL
02M475,STUYVESANT HIGH SCHOOL,832,679,735,92,C,A,3286,0.014,0.001,0.037,0.001
10X696,HIGH SCHOOL OF AMERICAN STUDIES AT LEHMAN COLLEGE,92,636,648,98,A,A,395,0.038,0,0.243,0
31R605,STATEN ISLAND TECHNICAL HIGH SCHOOL,227,635,682,98,A,A,1185,0.017,0.001,0.062,0
10X445,BRONX HIGH SCHOOL OF SCIENCE,731,632,688,94,C,A,3060,0.015,0.003,0.103,0.001
01M696,BARD HIGH SCHOOL EARLY COLLEGE,130,624,604,72,B,A,601,0.013,0,0.343,0
25Q525,TOWNSEND HARRIS HIGH SCHOOL,278,621,651,97,A,A,1116,0.004,0,0.198,0
28Q687,QUEENS HIGH SCHOOL FOR THE SCIENCES AT YORK COLLEGE,121,612,660,96,A,A,400,0.02,0.005,0.18,0
05M692,"HIGH SCHOOL FOR MATHEMATICS, SCIENCE AND ENGINEERING AT CITY COLLEGE",101,605,654,92,B,A,439,0.048,0.007,0.36,0
13K430,BROOKLYN TECHNICAL HIGH SCHOOL,1277,587,659,75,D,A,5451,0.014,0.003,0.175,0.001
14K449,"BROOKLYN LATIN SCHOOL, THE",72,586,584,64,B,A,509,0.022,0.012,0.42,0.002
03M479,BEACON HIGH SCHOOL,261,577,575,73,B,A,1263,0.062,0.002,0.384,0
02M416,ELEANOR ROOSEVELT HIGH SCHOOL,127,572,594,92,A,A,516,0.031,0,0.169,0
03M485,FIORELLO H. LAGUARDIA HIGH SCHOOL OF MUSIC & ART AND PERFORMING ARTS,531,566,564,89,C,A,2688,0.026,0.003,0.309,0.001
24Q299,BARD HIGH SCHOOL EARLY COLLEGE II,155,545,568,79,A,A,591,0.005,0.007,0.315,0.002
02M412,N.Y.C. LAB SCHOOL FOR COLLABORATIVE STUDIES,114,537,590,88,B,A,578,0.18,0.003,0.263,0.01
02M418,MILLENNIUM HIGH SCHOOL,144,528,553,95,A,A,658,0.097,0.005,0.275,0.002
