,Num of SAT Test Takers,Enrollment,% Black or Hispanic,SAT Critical Reading Avg. Score,SAT Math Avg. Score,% Overage,% ELL,% Students with Disabilities
0,832,3286,0.037,679,735,0.001,0.001,0.014
1,92,395,0.243,636,648,0.0,0.0,0.038
2,227,1185,0.062,635,682,0.001,0.0,0.017
3,731,3060,0.103,632,688,0.003,0.001,0.015
4,130,601,0.343,624,604,0.0,0.0,0.013
5,278,1116,0.198,621,651,0.0,0.0,0.004
6,121,400,0.18,612,660,0.005,0.0,0.02
7,101,439,0.36,605,654,0.007,0.0,0.048
8,1277,5451,0.175,587,659,0.003,0.001,0.014
9,72,509,0.42,586,584,0.012,0.002,0.022
10,261,1263,0.384,577,575,0.002,0.0,0.062
11,127,516,0.169,572,594,0.0,0.0,0.031
12,531,2688,0.309,566,564,0.003,0.001,0.026
13,155,591,0.315,545,568,0.007,0.002,0.005
14,114,578,0.263,537,590,0.003,0.01,0.18
15,144,658,0.275,528,553,0.005,0.002,0.097
16,259,1018,0.208,524,561,0.004,0.011,0.114
17,61,270,0.3,524,568,0.0,0.0,0.004
18,159,570,0.349,522,574,0.0,0.004,0.044
19,66,410,0.434,517,533,0.007,0.005,0.18
20,99,510,0.651,513,523,0.004,0.0,0.025
21,94,438,0.527,509,490,0.007,0.005,0.066
22,174,786,0.439,504,496,0.006,0.0,0.039
23,89,453,0.382,499,537,0.002,0.0,0.004
24,104,441,0.197,496,563,0.005,0.002,0.05
25,54,280,0.357,492,465,0.05,0.014,0.132
26,135,752,0.44,487,492,0.021,0.04,0.109
27,888,3778,0.384,480,545,0.028,0.063,0.147
28,824,3893,0.463,478,519,0.014,0.038,0.073
29,165,936,0.97,476,481,0.014,0.001,0.03
30,111,456,0.636,473,506,0.018,0.009,0.07
31,92,447,0.62,473,483,0.002,0.002,0.145
32,107,476,0.382,472,488,0.011,0.017,0.227
33,185,900,0.952,471,472,0.012,0.0,0.037
34,63,363,0.325,471,489,0.014,0.003,0.234
35,81,517,0.729,469,472,0.012,0.002,0.06
36,934,4129,0.325,468,539,0.041,0.141,0.149
37,727,4031,0.42,468,496,0.027,0.088,0.172
38,103,480,0.519,468,492,0.008,0.004,0.123
39,263,1339,0.746,465,493,0.043,0.09,0.164
40,807,3849,0.127,462,486,0.012,0.014,0.18
41,708,3297,0.37,462,523,0.027,0.058,0.144
42,375,1617,0.772,461,514,0.011,0.035,0.08
43,81,448,0.929,459,480,0.033,0.029,0.192
44,214,1134,0.96,458,474,0.046,0.025,0.092
45,69,313,0.942,457,462,0.006,0.0,0.045
46,762,3834,0.395,456,497,0.033,0.088,0.144
47,131,573,0.853,456,456,0.007,0.002,0.038
48,535,3402,0.358,455,474,0.038,0.031,0.219
49,58,311,0.415,455,498,0.01,0.013,0.122
50,422,2225,0.439,452,478,0.028,0.013,0.136
51,137,517,0.304,452,451,0.012,0.002,0.18
52,396,2224,0.596,445,496,0.013,0.027,0.084
53,270,1386,0.769,444,441,0.034,0.017,0.155
54,97,641,0.808,444,471,0.059,0.034,0.189
55,167,757,0.679,443,489,0.066,0.089,0.162
56,80,501,0.703,443,447,0.024,0.056,0.158
57,95,413,0.896,441,473,0.002,0.034,0.107
58,68,280,0.768,439,445,0.021,0.025,0.136
59,113,638,0.683,438,455,0.025,0.044,0.196
60,89,371,0.957,438,443,0.019,0.003,0.078
61,375,2441,0.709,437,435,0.066,0.063,0.197
62,518,3158,0.336,436,475,0.038,0.123,0.151
63,59,485,0.864,436,427,0.056,0.019,0.107
64,75,603,0.927,433,433,0.106,0.109,0.227
65,70,289,0.893,432,446,0.01,0.014,0.118
66,99,691,0.462,431,458,0.043,0.122,0.233
67,76,504,0.895,431,438,0.042,0.022,0.208
68,228,1339,0.932,430,456,0.038,0.034,0.084
69,25,309,0.547,430,452,0.042,0.081,0.113
70,336,1726,0.732,429,449,0.046,0.045,0.139
71,194,928,0.514,429,491,0.018,0.005,0.098
72,119,639,0.297,429,449,0.036,0.085,0.189
73,42,223,0.879,429,404,0.009,0.004,0.063
74,39,142,0.993,428,465,0.021,0.035,0.134
75,141,768,0.926,426,421,0.033,0.007,0.112
76,259,1609,0.968,425,413,0.054,0.099,0.14
77,238,1292,0.632,425,474,0.024,0.055,0.241
78,175,1227,0.65,425,434,0.022,0.027,0.189
79,391,2683,0.388,424,437,0.045,0.054,0.229
80,271,1950,0.692,424,438,0.07,0.057,0.254
81,335,1669,0.923,423,423,0.031,0.028,0.123
82,93,593,0.508,423,426,0.013,0.04,0.162
83,85,426,0.763,423,438,0.04,0.016,0.157
84,52,428,0.956,423,420,0.037,0.023,0.1
85,68,401,0.686,420,445,0.055,0.105,0.127
86,66,326,0.951,420,426,0.043,0.037,0.129
87,443,3654,0.897,419,426,0.126,0.202,0.206
88,48,491,0.914,419,433,0.09,0.045,0.265
89,79,434,0.956,418,441,0.035,0.012,0.083
90,694,4419,0.337,417,478,0.061,0.216,0.146
91,155,1469,0.796,417,447,0.029,0.046,0.167
92,94,647,0.74,416,422,0.07,0.04,0.309
93,84,640,0.872,416,426,0.108,0.05,0.208
94,59,385,0.356,416,463,0.042,0.171,0.145
95,54,277,0.978,416,432,0.014,0.004,0.072
96,395,2766,0.557,414,449,0.091,0.177,0.145
97,131,720,0.922,414,425,0.09,0.089,0.179
98,99,440,0.827,414,435,0.082,0.35,0.098
99,134,696,0.976,413,396,0.138,0.095,0.162
100,54,425,0.976,413,399,0.073,0.094,0.186
101,51,328,0.979,413,381,0.049,0.104,0.22
102,415,2944,0.829,412,436,0.091,0.095,0.253
103,78,388,0.062,412,581,0.049,0.348,0.046
104,80,339,0.953,411,464,0.035,0.065,0.218
105,98,437,0.741,410,440,0.023,0.032,0.199
106,62,433,0.91,409,393,0.042,0.028,0.212
107,61,618,0.913,409,424,0.07,0.07,0.194
108,84,592,0.941,408,384,0.093,0.061,0.258
109,60,342,0.98,408,446,0.035,0.018,0.129
110,36,240,0.983,408,432,0.121,0.129,0.254
111,264,1792,0.873,407,440,0.104,0.111,0.173
112,148,920,0.745,407,434,0.047,0.104,0.187
113,44,416,0.913,407,386,0.108,0.038,0.197
114,41,346,0.962,407,386,0.185,0.127,0.223
115,85,817,0.947,406,391,0.071,0.021,0.192
116,74,555,0.872,406,406,0.054,0.02,0.198
117,39,428,0.701,406,413,0.063,0.112,0.189
118,89,436,0.667,405,454,0.039,0.067,0.126
